port,L_path_um,n_tap,IL_db,IL_linear,att_db,needs_eq
0,9108.8,128,8.222,0.1506,6.400,True
1,9108.8,256,14.622,0.0345,0.000,False
2,9108.8,256,14.622,0.0345,0.000,False
3,9108.8,256,14.622,0.0345,0.000,False
4,9108.8,256,14.622,0.0345,0.000,False
5,9108.8,256,14.622,0.0345,0.000,False
6,9108.8,256,14.622,0.0345,0.000,False
7,9108.8,256,14.622,0.0345,0.000,False
8,9108.8,256,14.622,0.0345,0.000,False
9,9108.8,256,14.622,0.0345,0.000,False
10,9108.8,256,14.622,0.0345,0.000,False
11,9108.8,256,14.622,0.0345,0.000,False
12,9108.8,256,14.622,0.0345,0.000,False
13,9108.8,256,14.622,0.0345,0.000,False
14,9108.8,256,14.622,0.0345,0.000,False
15,9108.8,256,14.622,0.0345,0.000,False
16,9108.8,256,14.622,0.0345,0.000,False
17,9108.8,256,14.622,0.0345,0.000,False
18,9108.8,256,14.622,0.0345,0.000,False
19,9108.8,256,14.622,0.0345,0.000,False
20,9108.8,256,14.622,0.0345,0.000,False
21,9108.8,256,14.622,0.0345,0.000,False
22,9108.8,256,14.622,0.0345,0.000,False
23,9108.8,256,14.622,0.0345,0.000,False
24,9108.8,256,14.622,0.0345,0.000,False
25,9108.8,256,14.622,0.0345,0.000,False
26,9108.8,256,14.622,0.0345,0.000,False
27,9108.8,256,14.622,0.0345,0.000,False
28,9108.8,256,14.622,0.0345,0.000,False
29,9108.8,256,14.622,0.0345,0.000,False
30,9108.8,256,14.622,0.0345,0.000,False
31,9108.8,256,14.622,0.0345,0.000,False
32,9108.8,256,14.622,0.0345,0.000,False
33,9108.8,256,14.622,0.0345,0.000,False
34,9108.8,256,14.622,0.0345,0.000,False
35,9108.8,256,14.622,0.0345,0.000,False
36,9108.8,256,14.622,0.0345,0.000,False
37,9108.8,256,14.622,0.0345,0.000,False
38,9108.8,256,14.622,0.0345,0.000,False
39,9108.8,256,14.622,0.0345,0.000,False
40,9108.8,256,14.622,0.0345,0.000,False
41,9108.8,256,14.622,0.0345,0.000,False
42,9108.8,256,14.622,0.0345,0.000,False
43,9108.8,256,14.622,0.0345,0.000,False
44,9108.8,256,14.622,0.0345,0.000,False
45,9108.8,256,14.622,0.0345,0.000,False
46,9108.8,256,14.622,0.0345,0.000,False
47,9108.8,256,14.622,0.0345,0.000,False
48,9108.8,256,14.622,0.0345,0.000,False
49,9108.8,256,14.622,0.0345,0.000,False
50,9108.8,256,14.622,0.0345,0.000,False
51,9108.8,256,14.622,0.0345,0.000,False
52,9108.8,256,14.622,0.0345,0.000,False
53,9108.8,256,14.622,0.0345,0.000,False
54,9108.8,256,14.622,0.0345,0.000,False
55,9108.8,256,14.622,0.0345,0.000,False
56,9108.8,256,14.622,0.0345,0.000,False
57,9108.8,256,14.622,0.0345,0.000,False
58,9108.8,256,14.622,0.0345,0.000,False
59,9108.8,256,14.622,0.0345,0.000,False
60,9108.8,256,14.622,0.0345,0.000,False
61,9108.8,256,14.622,0.0345,0.000,False
62,9108.8,256,14.622,0.0345,0.000,False
63,9108.8,256,14.622,0.0345,0.000,False
64,9108.8,256,14.622,0.0345,0.000,False
65,9108.8,256,14.622,0.0345,0.000,False
66,9108.8,256,14.622,0.0345,0.000,False
67,9108.8,256,14.622,0.0345,0.000,False
68,9108.8,256,14.622,0.0345,0.000,False
69,9108.8,256,14.622,0.0345,0.000,False
70,9108.8,256,14.622,0.0345,0.000,False
71,9108.8,256,14.622,0.0345,0.000,False
72,9108.8,256,14.622,0.0345,0.000,False
73,9108.8,256,14.622,0.0345,0.000,False
74,9108.8,256,14.622,0.0345,0.000,False
75,9108.8,256,14.622,0.0345,0.000,False
76,9108.8,256,14.622,0.0345,0.000,False
77,9108.8,256,14.622,0.0345,0.000,False
78,9108.8,256,14.622,0.0345,0.000,False
79,9108.8,256,14.622,0.0345,0.000,False
80,9108.8,256,14.622,0.0345,0.000,False
81,9108.8,256,14.622,0.0345,0.000,False
82,9108.8,256,14.622,0.0345,0.000,False
83,9108.8,256,14.622,0.0345,0.000,False
84,9108.8,256,14.622,0.0345,0.000,False
85,9108.8,256,14.622,0.0345,0.000,False
86,9108.8,256,14.622,0.0345,0.000,False
87,9108.8,256,14.622,0.0345,0.000,False
88,9108.8,256,14.622,0.0345,0.000,False
89,9108.8,256,14.622,0.0345,0.000,False
90,9108.8,256,14.622,0.0345,0.000,False
91,9108.8,256,14.622,0.0345,0.000,False
92,9108.8,256,14.622,0.0345,0.000,False
93,9108.8,256,14.622,0.0345,0.000,False
94,9108.8,256,14.622,0.0345,0.000,False
95,9108.8,256,14.622,0.0345,0.000,False
96,9108.8,256,14.622,0.0345,0.000,False
97,9108.8,256,14.622,0.0345,0.000,False
98,9108.8,256,14.622,0.0345,0.000,False
99,9108.8,256,14.622,0.0345,0.000,False
100,9108.8,256,14.622,0.0345,0.000,False
101,9108.8,256,14.622,0.0345,0.000,False
102,9108.8,256,14.622,0.0345,0.000,False
103,9108.8,256,14.622,0.0345,0.000,False
104,9108.8,256,14.622,0.0345,0.000,False
105,9108.8,256,14.622,0.0345,0.000,False
106,9108.8,256,14.622,0.0345,0.000,False
107,9108.8,256,14.622,0.0345,0.000,False
108,9108.8,256,14.622,0.0345,0.000,False
109,9108.8,256,14.622,0.0345,0.000,False
110,9108.8,256,14.622,0.0345,0.000,False
111,9108.8,256,14.622,0.0345,0.000,False
112,9108.8,256,14.622,0.0345,0.000,False
113,9108.8,256,14.622,0.0345,0.000,False
114,9108.8,256,14.622,0.0345,0.000,False
115,9108.8,256,14.622,0.0345,0.000,False
116,9108.8,256,14.622,0.0345,0.000,False
117,9108.8,256,14.622,0.0345,0.000,False
118,9108.8,256,14.622,0.0345,0.000,False
119,9108.8,256,14.622,0.0345,0.000,False
120,9108.8,256,14.622,0.0345,0.000,False
121,9108.8,256,14.622,0.0345,0.000,False
122,9108.8,256,14.622,0.0345,0.000,False
123,9108.8,256,14.622,0.0345,0.000,False
124,9108.8,256,14.622,0.0345,0.000,False
125,9108.8,256,14.622,0.0345,0.000,False
126,9108.8,256,14.622,0.0345,0.000,False
127,9108.8,256,14.622,0.0345,0.000,False
128,9108.8,256,14.622,0.0345,0.000,False
129,9108.8,256,14.622,0.0345,0.000,False
130,9108.8,256,14.622,0.0345,0.000,False
131,9108.8,256,14.622,0.0345,0.000,False
132,9108.8,256,14.622,0.0345,0.000,False
133,9108.8,256,14.622,0.0345,0.000,False
134,9108.8,256,14.622,0.0345,0.000,False
135,9108.8,256,14.622,0.0345,0.000,False
136,9108.8,256,14.622,0.0345,0.000,False
137,9108.8,256,14.622,0.0345,0.000,False
138,9108.8,256,14.622,0.0345,0.000,False
139,9108.8,256,14.622,0.0345,0.000,False
140,9108.8,256,14.622,0.0345,0.000,False
141,9108.8,256,14.622,0.0345,0.000,False
142,9108.8,256,14.622,0.0345,0.000,False
143,9108.8,256,14.622,0.0345,0.000,False
144,9108.8,256,14.622,0.0345,0.000,False
145,9108.8,256,14.622,0.0345,0.000,False
146,9108.8,256,14.622,0.0345,0.000,False
147,9108.8,256,14.622,0.0345,0.000,False
148,9108.8,256,14.622,0.0345,0.000,False
149,9108.8,256,14.622,0.0345,0.000,False
150,9108.8,256,14.622,0.0345,0.000,False
151,9108.8,256,14.622,0.0345,0.000,False
152,9108.8,256,14.622,0.0345,0.000,False
153,9108.8,256,14.622,0.0345,0.000,False
154,9108.8,256,14.622,0.0345,0.000,False
155,9108.8,256,14.622,0.0345,0.000,False
156,9108.8,256,14.622,0.0345,0.000,False
157,9108.8,256,14.622,0.0345,0.000,False
158,9108.8,256,14.622,0.0345,0.000,False
159,9108.8,256,14.622,0.0345,0.000,False
160,9108.8,256,14.622,0.0345,0.000,False
161,9108.8,256,14.622,0.0345,0.000,False
162,9108.8,256,14.622,0.0345,0.000,False
163,9108.8,256,14.622,0.0345,0.000,False
164,9108.8,256,14.622,0.0345,0.000,False
165,9108.8,256,14.622,0.0345,0.000,False
166,9108.8,256,14.622,0.0345,0.000,False
