# P1-B 驱动电压清单,128,x,128,Vpi_L_mm,7.5,arm_um,1000.0,Vpi_volts,7.5,Vmax,7.5
kind,idx,col_c_or_rail,phi_rad,V
mzi,126,0,-3.141593,-7.5
mzi,125,0,-3.141593,-7.5
mzi,124,0,-3.141593,-7.5
mzi,123,0,-3.141593,-7.5
mzi,122,0,-3.141593,-7.5
mzi,121,0,-3.141593,-7.5
mzi,120,0,-3.141593,-7.5
mzi,119,0,-3.141593,-7.5
mzi,118,0,-3.141593,-7.5
mzi,117,0,-3.141593,-7.5
mzi,116,0,-3.141593,-7.5
mzi,115,0,-3.141593,-7.5
mzi,114,0,-3.141593,-7.5
mzi,113,0,-3.141593,-7.5
mzi,112,0,-3.141593,-7.5
mzi,111,0,-3.141593,-7.5
mzi,110,0,-3.141593,-7.5
mzi,109,0,-3.141593,-7.5
mzi,108,0,-3.141593,-7.5
mzi,107,0,-3.141593,-7.5
mzi,106,0,-3.141593,-7.5
mzi,105,0,-3.141593,-7.5
mzi,104,0,-3.141593,-7.5
mzi,103,0,-3.141593,-7.5
mzi,102,0,-3.141593,-7.5
mzi,101,0,-3.141593,-7.5
mzi,100,0,-3.141593,-7.5
mzi,99,0,-3.141593,-7.5
mzi,98,0,-3.141593,-7.5
mzi,97,0,-3.141593,-7.5
mzi,96,0,-3.141593,-7.5
mzi,95,0,-3.141593,-7.5
mzi,94,0,-3.141593,-7.5
mzi,93,0,-3.141593,-7.5
mzi,92,0,-3.141593,-7.5
mzi,91,0,-3.141593,-7.5
mzi,90,0,-3.141593,-7.5
mzi,89,0,-3.141593,-7.5
mzi,88,0,-3.141593,-7.5
mzi,87,0,-3.141593,-7.5
mzi,86,0,-3.141593,-7.5
mzi,85,0,-3.141593,-7.5
mzi,84,0,-3.141593,-7.5
mzi,83,0,-3.141593,-7.5
mzi,82,0,-3.141593,-7.5
mzi,81,0,-3.141593,-7.5
mzi,80,0,-3.141593,-7.5
mzi,79,0,-3.141593,-7.5
mzi,78,0,-3.141593,-7.5
mzi,77,0,-3.141593,-7.5
mzi,76,0,-3.141593,-7.5
mzi,75,0,-3.141593,-7.5
mzi,74,0,-3.141593,-7.5
mzi,73,0,-3.141593,-7.5
mzi,72,0,-3.141593,-7.5
mzi,71,0,-3.141593,-7.5
mzi,70,0,-3.141593,-7.5
mzi,69,0,-3.141593,-7.5
mzi,68,0,-3.141593,-7.5
mzi,67,0,-3.141593,-7.5
mzi,66,0,-3.141593,-7.5
mzi,65,0,-3.141593,-7.5
mzi,64,0,-3.141593,-7.5
mzi,63,0,-3.141593,-7.5
mzi,62,0,-3.141593,-7.5
mzi,61,0,-3.141593,-7.5
mzi,60,0,-3.141593,-7.5
mzi,59,0,-3.141593,-7.5
mzi,58,0,-3.141593,-7.5
mzi,57,0,-3.141593,-7.5
mzi,56,0,-3.141593,-7.5
mzi,55,0,-3.141593,-7.5
mzi,54,0,-3.141593,-7.5
mzi,53,0,-3.141593,-7.5
mzi,52,0,-3.141593,-7.5
mzi,51,0,-3.141593,-7.5
mzi,50,0,-3.141593,-7.5
mzi,49,0,-3.141593,-7.5
mzi,48,0,-3.141593,-7.5
mzi,47,0,-3.141593,-7.5
mzi,46,0,-3.141593,-7.5
mzi,45,0,-3.141593,-7.5
mzi,44,0,-3.141593,-7.5
mzi,43,0,-3.141593,-7.5
mzi,42,0,-3.141593,-7.5
mzi,41,0,-3.141593,-7.5
mzi,40,0,-3.141593,-7.5
mzi,39,0,-3.141593,-7.5
mzi,38,0,-3.141593,-7.5
mzi,37,0,-3.141593,-7.5
mzi,36,0,-3.141593,-7.5
mzi,35,0,-3.141593,-7.5
mzi,34,0,-3.141593,-7.5
