section,rail_or_j,col_c,phi_rad,V
MZI,0,0,-0.049087,-0.1172
MZI,2,0,-0.098175,-0.2344
MZI,1,1,-0.171806,-0.4102
MZI,0,2,-0.208627,-0.4981
MZI,4,0,-0.147262,-0.3516
MZI,3,1,-0.269981,-0.6445
MZI,2,2,-0.269981,-0.6445
MZI,1,3,-0.295485,-0.7054
MZI,0,4,-0.349760,-0.8350
MZI,6,0,-0.196350,-0.4688
MZI,5,1,-0.368155,-0.8789
MZI,4,2,-0.368155,-0.8789
MZI,3,3,-0.368155,-0.8789
MZI,2,4,-0.387996,-0.9263
MZI,1,5,-0.432771,-1.0332
MZI,0,6,-0.494982,-1.1817
MZI,8,0,-0.245440,-0.5859
MZI,7,1,-0.466335,-1.1133
MZI,6,2,-0.466336,-1.1133
MZI,5,3,-0.466337,-1.1133
MZI,4,4,-0.466337,-1.1133
MZI,3,5,-0.482739,-1.1525
MZI,2,6,-0.521069,-1.2440
MZI,1,7,-0.575721,-1.3744
MZI,0,8,-0.641244,-1.5309
MZI,10,0,-0.294178,-0.7023
MZI,9,1,-0.563988,-1.3464
MZI,8,2,-0.563864,-1.3461
MZI,7,3,-0.563779,-1.3459
MZI,6,4,-0.563728,-1.3458
MZI,5,5,-0.563708,-1.3458
MZI,4,6,-0.577777,-1.3793
MZI,3,7,-0.611419,-1.4597
MZI,2,8,-0.660192,-1.5761
MZI,1,9,-0.719419,-1.7175
MZI,0,10,-0.785800,-1.8760
MZI,12,0,-0.352312,-0.8411
MZI,11,1,-0.675565,-1.6128
MZI,10,2,-0.678942,-1.6209
MZI,9,3,-0.681345,-1.6266
MZI,8,4,-0.682988,-1.6305
MZI,7,5,-0.683942,-1.6328
MZI,6,6,-0.684316,-1.6337
MZI,5,7,-0.696912,-1.6638
MZI,4,8,-0.727615,-1.7371
MZI,3,9,-0.773215,-1.8459
MZI,2,10,-0.830451,-1.9826
MZI,1,11,-0.899473,-2.1473
MZI,0,12,-0.996161,-2.3782
MZI,14,0,-0.416476,-0.9943
MZI,13,1,-0.800333,-1.9107
MZI,12,2,-0.801725,-1.9140
MZI,11,3,-0.805096,-1.9220
MZI,10,4,-0.807732,-1.9283
MZI,9,5,-0.809547,-1.9327
MZI,8,6,-0.810612,-1.9352
MZI,7,7,-0.811046,-1.9362
MZI,6,8,-0.822488,-1.9635
MZI,5,9,-0.850758,-2.0310
MZI,4,10,-0.893264,-2.1325
MZI,3,11,-0.947199,-2.2613
MZI,2,12,-1.012234,-2.4165
MZI,1,13,-1.092279,-2.6076
MZI,0,14,-1.236995,-2.9531
MZI,16,0,-0.424725,-1.0140
MZI,15,1,-0.846127,-2.0200
MZI,14,2,-0.830014,-1.9815
